URN,A-level Maths VA,A-level Maths VA lower,A-level Maths VA upper,P8MEAMAT,P8MEAMAT lower,P8MEAMAT upper
100544,-0.95,-1.37,-0.53,,,
100001,0.26,-0.04,0.55,,,
100003,-0.05,-0.26,0.17,,,
137181,-0.07,-0.38,0.25,-0.12,-0.35,0.12
100049,0.19,-0.3,0.69,0.03,-0.22,0.28
100050,0.18,-0.31,0.67,0.4,0.17,0.63
100051,0.84,0.33,1.35,-0.12,-0.35,0.11
100052,-0.07,-0.51,0.36,-0.31,-0.52,-0.1
100053,-0.14,-0.64,0.36,0.01,-0.21,0.24
100054,0.02,-0.21,0.24,0.4,0.12,0.67
100055,-0.14,-0.77,0.48,-0.45,-0.71,-0.19
100056,-0.64,-1.13,-0.15,0.24,-0.03,0.51
132838,-0.36,-0.62,-0.1,,,
100059,-1.09,-1.72,-0.47,-0.3,-0.55,-0.05
137333,,,,,,
146553,,,,,,
100065,0.03,-0.21,0.28,,,
100076,0.09,-0.26,0.43,,,
100084,,,,,,
130421,-1.07,-1.28,-0.87,,,
100171,-0.09,-0.66,0.48,-0.26,-0.49,-0.03
138449,0.08,-0.27,0.42,0.29,0.06,0.51
143927,,,,-0.44,-0.7,-0.18
147439,0.42,0.03,0.81,-0.24,-0.49,0.01
100182,-0.11,-0.59,0.37,0.17,-0.05,0.4
100183,0.52,0.07,0.96,-0.48,-0.69,-0.27
141163,-0.11,-0.48,0.26,0.26,0.06,0.46
141309,-0.57,-1.05,-0.1,-0.12,-0.3,0.06
100190,-0.03,-0.31,0.26,-0.2,-0.39,-0.01
138966,-0.81,-1.41,-0.21,,,
147199,,,,,,
147681,-0.56,-1.07,-0.05,,,
100202,0.63,0.3,0.96,,,
100756,-0.5,-1.19,0.2,,,
145609,,,,0.04,-0.93,1.02
143756,0.39,-0.09,0.87,0.54,0.22,0.86
149901,-0.41,-0.92,0.11,-0.19,-0.39,0.01
137442,-0.73,-1.23,-0.22,0.34,0.12,0.57
100279,-0.01,-0.38,0.35,0.19,0.0,0.38
100282,,,,-0.01,-0.33,0.31
100284,0.78,0.09,1.48,-0.49,-0.73,-0.25
150604,0.13,-0.44,0.69,,,
139044,-0.69,-1.31,-0.07,,,
134693,-0.04,-0.28,0.2,1.08,0.87,1.29
